NSta=1;NSta=4;NSta=7;NSta=10;NSta=13;NSta=16;NSta=19;NSta=22;NSta=25;NSta=28;NSta=31;NSta=34;NSta=37;NSta=40
7,60E-08;7,92E-08;7,33E-08;7,44E-08;7,37E-08;9,81E-08;8,34E-08;1,44E-07;6,22E-07;2,51E-06;3,46E-05;2,20E-05;4,05E-07;0,00018167
7,81E-08;7,25E-08;7,29E-08;7,82E-08;7,68E-08;1,08E-07;3,77E-07;4,52E-07;2,13E-05;4,29E-06;2,13E-05;0,000137481;;
7,81E-08;7,82E-08;8,74E-08;1,93E-07;7,29E-08;8,60E-07;4,21E-07;5,06E-07;8,12E-06;4,03E-05;;;;
8,01E-08;1,68E-07;7,49E-08;2,19E-07;7,79E-08;1,47E-07;7,55E-08;1,09E-06;8,56E-06;9,11E-06;;;;
7,41E-08;7,73E-08;7,74E-08;8,06E-08;7,90E-08;7,78E-08;8,07E-08;2,57E-06;5,39E-07;5,36E-06;;;;
7,61E-08;7,96E-08;8,00E-08;7,64E-08;7,71E-08;7,33E-08;1,28E-06;2,52E-06;0,000130178;;;;;
7,61E-08;7,63E-08;7,35E-08;7,87E-08;1,41E-07;2,61E-07;9,69E-08;1,86E-07;8,23E-05;;;;;
7,90E-08;7,30E-08;4,51E-07;7,50E-08;1,43E-07;7,50E-08;1,57E-07;1,58E-06;;;;;;
7,21E-08;7,53E-08;7,56E-08;8,08E-08;7,24E-08;8,09E-08;6,56E-06;5,59E-06;;;;;;
7,66E-08;8,65E-08;1,18E-07;1,06E-07;9,05E-08;1,98E-07;1,01E-06;1,63E-06;3,59E-05;1,23E-05;2,80E-05;7,97E-05;4,05E-07;1,82E-04
;;;;;;;;;;;;;
8,01E-08;1,68E-07;4,51E-07;2,19E-07;1,43E-07;8,60E-07;6,56E-06;5,59E-06;1,30E-04;;;;;
