NSta=1;NSta=4;NSta=7;NSta=10;NSta=13;NSta=16;NSta=19;NSta=22;NSta=25;NSta=28;NSta=31;NSta=34;NSta=37;NSta=40
6,10E-08;6,72E-08;6,43E-08;6,74E-08;6,17E-08;6,86E-08;6,47E-08;1,01E-06;1,09E-06;9,16E-07;5,79E-05;0,00018042;0,000114675;0,000117675
6,01E-08;6,65E-08;6,69E-08;6,02E-08;6,28E-08;8,95E-08;2,01E-07;2,72E-05;0,00012451;6,13E-08;;;;
6,61E-08;6,62E-08;6,64E-08;1,69E-07;6,29E-08;7,89E-07;8,68E-08;1,87E-06;9,49E-07;6,94E-06;;;;
6,51E-08;1,41E-07;6,29E-08;2,04E-07;6,30E-08;6,82E-08;6,32E-08;1,59E-06;1,86E-05;0,00011584;;;;
6,81E-08;6,53E-08;6,54E-08;6,16E-08;6,50E-08;8,61E-08;6,60E-08;4,14E-07;8,12E-06;;;;;
6,71E-08;6,46E-08;6,50E-08;6,04E-08;6,11E-08;6,20E-08;6,07E-08;8,74E-08;9,71E-05;;;;;
6,41E-08;6,43E-08;6,75E-08;6,17E-08;1,09E-07;6,48E-08;2,06E-07;1,96E-06;1,97E-05;;;;;
6,70E-08;6,40E-08;4,06E-07;6,50E-08;6,03E-08;6,26E-08;1,82E-07;7,40E-06;;;;;;
6,61E-08;6,33E-08;6,36E-08;1,33E-07;6,44E-08;6,85E-08;3,50E-07;;;;;;;
6,50E-08;7,35E-08;1,03E-07;9,80E-08;6,78E-08;1,51E-07;1,42E-07;5,19E-06;3,86E-05;3,09E-05;5,79E-05;1,80E-04;1,15E-04;1,18E-04
;;;;;;;;;;;;;
6,81E-08;1,41E-07;4,06E-07;2,04E-07;1,09E-07;7,89E-07;3,50E-07;2,72E-05;1,25E-04;;;;;
