NSta=1;NSta=4;NSta=7;NSta=10;NSta=13;NSta=16;NSta=19;NSta=22;NSta=25;NSta=28;NSta=31;NSta=34;NSta=37;NSta=40
6,11E-08;6,74E-08;1,14E-06;1,66E-06;7,99E-08;1,37E-06;1,05E-05;3,95E-06;7,15E-07;6,74E-06;6,49E-06;6,32E-06;;
6,63E-08;4,18E-07;6,28E-08;3,41E-07;2,92E-05;7,59E-06;1,52E-06;8,60E-06;3,13E-06;2,18E-05;6,31E-05;0,000144655;;
6,01E-08;6,35E-08;4,78E-07;5,66E-06;1,91E-06;1,66E-06;1,43E-06;6,15E-06;0,00011079;0,000240597;1,47E-06;;;
6,83E-08;2,40E-07;2,46E-07;6,46E-08;1,25E-06;1,88E-06;6,51E-08;3,55E-05;6,24E-06;;;;;
6,52E-08;2,97E-07;1,35E-06;3,50E-07;1,12E-05;1,76E-06;0,000104888;8,96E-06;;;;;;
6,74E-08;6,24E-08;3,35E-07;5,99E-07;6,75E-08;8,55E-06;2,28E-05;;;;;;;
6,42E-08;6,77E-08;3,20E-07;5,04E-06;4,05E-06;1,29E-06;2,97E-06;;;;;;;
6,10E-08;6,10E-08;5,47E-07;6,70E-08;7,24E-07;4,38E-05;;;;;;;;
6,02E-08;8,28E-08;6,87E-08;1,52E-06;1,86E-07;;;;;;;;;
6,38E-08;1,51E-07;5,06E-07;1,70E-06;5,40E-06;8,49E-06;2,06E-05;1,26E-05;3,02E-05;8,97E-05;2,37E-05;7,55E-05;;
;;;;;;;;;;;;;
6,83E-08;4,18E-07;1,35E-06;5,66E-06;2,92E-05;4,38E-05;1,05E-04;3,55E-05;1,11E-04;;;;;
