NSta=1;NSta=4;NSta=7;NSta=10;NSta=13;NSta=16;NSta=19;NSta=22;NSta=25;NSta=28;NSta=31;NSta=34;NSta=37;NSta=40
7,61E-08;7,94E-08;8,00E-08;7,38E-08;1,10E-05;1,76E-06;4,00E-05;4,01E-06;3,97E-05;9,19E-06;2,60E-05;3,51E-05;0,00015611;0,00019011
7,23E-08;4,51E-07;7,23E-08;2,79E-06;8,07E-08;2,61E-06;4,57E-06;1,71E-05;3,45E-05;7,92E-05;7,08E-05;0,000214364;;
7,51E-08;7,25E-08;1,05E-07;2,07E-06;3,56E-06;1,38E-06;1,24E-05;5,38E-06;3,14E-05;0,00014679;7,26E-07;3,06E-06;;
7,73E-08;2,58E-07;9,05E-07;3,73E-06;9,33E-08;1,98E-07;9,05E-08;4,88E-05;4,93E-05;0,000161927;;;;
7,72E-08;3,15E-07;1,17E-06;2,83E-06;3,65E-07;2,18E-05;9,27E-06;1,30E-05;3,68E-05;1,46E-06;;;;
7,64E-08;7,44E-08;3,33E-07;4,61E-05;2,82E-05;3,77E-05;4,19E-06;;;;;;;
7,62E-08;7,37E-08;7,24E-08;3,04E-06;5,17E-07;2,12E-07;3,10E-05;;;;;;;
7,60E-08;7,60E-08;3,85E-07;9,50E-08;1,15E-06;1,11E-05;;;;;;;;
7,82E-08;1,06E-07;8,07E-08;3,27E-05;;;;;;;;;;
7,61E-08;1,67E-07;3,56E-07;1,04E-05;5,62E-06;9,59E-06;1,45E-05;1,77E-05;3,83E-05;7,97E-05;3,25E-05;8,42E-05;1,56E-04;1,90E-04
;;;;;;;;;;;;;
7,73E-08;4,51E-07;1,17E-06;4,61E-05;2,82E-05;3,77E-05;4,00E-05;4,88E-05;4,93E-05;;;;;
