1 9.029501229684602e-08 5.571359309520495e-09 1.916195834273398e-10 1.8408786524512888e-08 1.1446677771430675e-07
2 9.029861612235853e-08 2.6191912420017823e-08 7.545277231540698e-10 1.7329431360533004e-08 1.3457448762606343e-07
3 9.030344728273479e-08 4.683456402953671e-08 1.3168236037664903e-09 1.6251110026640642e-08 1.5470594494267863e-07
4 9.036553462138486e-08 6.746509860394417e-08 1.8797071882875314e-09 1.5172126885075403e-08 1.7488246729869192e-07
5 9.125324407266722e-08 8.807365284982383e-08 2.4978319514357122e-09 1.403015427545577e-08 1.9585488314938255e-07
6 9.036106986508282e-08 1.0872881518650315e-07 3.006547451422135e-09 1.301369972606948e-08 2.151101322290776e-07
7 1.0954304064616572e-07 1.293574664108714e-07 3.657962907553694e-09 1.1667208018189412e-08 2.542256779827802e-07
8 1.3610667377354222e-07 1.4997070019313792e-07 5.250653827196964e-09 9.377190461588354e-09 3.0070521825546547e-07
9 1.5628586542658362e-07 1.7820488322931146e-07 7.1052012285511424e-09 1.1596090681073515e-08 3.5319204056551974e-07
10 1.829319971887019e-07 2.1230876559635047e-07 9.785080928558277e-09 1.4938470435984615e-08 4.1996431414959527e-07
11 2.1221605973792952e-07 2.514439223193471e-07 1.3295391254756655e-08 1.9252808970027646e-08 4.96208182282061e-07
12 2.4955316832769345e-07 2.9348908448029974e-07 1.7545084007729893e-08 2.4425827630146582e-08 5.850131644458697e-07
