Nsta;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;6.357828776;6.811959403;7.94728597;9.536743164;8.669766513;10.59638129
4;4.541306269;5.298190647;5.298190647;6.357828776;5.60984892;6.811959403
7;3.532127098;4.334883256;3.66797814;4.541306269;2.980232239;3.814697266
10;2.509669253;3.178914388;2.326034918;3.076368763;;
13;2.44531876;3.076368763;;;;
16;2.073205035;2.649095324;;;;
19;1.799385503;2.384185791;;;;
22;1.22265938;1.733953302;;;;
