1;0,056441;0,00359568;0,000120209;0,01241075;0,072567639
4;0,056498;0,0423192;0,001175645;0,0103867;0,110379545
7;0,068341;0,081046;0,00228666;0,0081968;0,15987046
10;0,0720115;0,085305;0,003822825;0,00651985;0,167659175
13;0,0559755;0,067724;0,004370995;0,0065611;0,134631595
16;0,04806025;0,054176;0,00474554;0,0065992;0,11358099
19;0,04413095;0,0437305;0,00498738;0,00665525;0,09950408
22;0,0438257;0,0347498;0,0051053;0,00677555;0,09045635
25;0,0449259;0,02768085;0,00515665;0,0068798;0,0846432
28;0,04727315;0,0226364;0,0051513;0,0070116;0,08207245
31;0,0506685;0,01874945;0,00511845;0,0071101;0,0816465
34;0,0524325;0,0156067;0,0050811;0,00719895;0,08031925
37;0,055366;0,0132289;0,0050334;0,00728885;0,08091715
40;0,0571825;0,01146655;0,00501435;0,0073377;0,0810011
