1;9,04E-08;8,76E-09;2,00E-10;5,13E-08;1,51E-07
4;9,05E-08;7,09E-08;1,89E-09;4,81E-08;2,11E-07
7;9,05E-08;1,33E-07;3,58E-09;4,49E-08;2,72E-07
10;1,38E-07;1,95E-07;5,29E-09;4,12E-08;3,79E-07
13;9,07E-08;2,57E-07;7,70E-09;3,76E-08;3,93E-07
16;9,31E-08;3,19E-07;9,43E-09;3,43E-08;4,56E-07
19;1,03E-07;3,81E-07;1,23E-08;2,98E-08;5,26E-07
22;2,30E-07;4,88E-07;2,70E-08;3,88E-08;7,83E-07
25;5,22E-07;7,43E-07;7,60E-08;9,81E-08;1,44E-06
28;1,16E-06;1,06E-06;1,66E-07;2,12E-07;2,60E-06
31;2,32E-06;1,39E-06;2,99E-07;3,93E-07;4,40E-06
34;3,64E-06;1,59E-06;4,22E-07;5,71E-07;6,22E-06
37;5,83E-06;1,82E-06;6,12E-07;8,54E-07;9,12E-06
40;6,58E-06;1,76E-06;6,45E-07;9,19E-07;9,90E-06
