1;9,03E-08;5,00E-09;1,91E-10;1,20E-08;1,08E-07
4;9,05E-08;6,69E-08;1,88E-09;8,75E-09;1,68E-07
7;1,60E-07;1,44E-07;6,04E-09;1,13E-08;3,21E-07
10;2,43E-07;2,52E-07;1,47E-08;2,34E-08;5,33E-07
13;3,75E-07;3,96E-07;3,08E-08;4,53E-08;8,46E-07
16;5,94E-07;5,75E-07;5,73E-08;7,96E-08;1,31E-06
19;9,53E-07;8,10E-07;1,02E-07;1,37E-07;2,00E-06
22;1,65E-06;1,12E-06;1,78E-07;2,39E-07;3,18E-06
25;2,66E-06;1,47E-06;2,90E-07;3,92E-07;4,82E-06
28;4,02E-06;1,77E-06;4,19E-07;5,78E-07;6,79E-06
31;5,73E-06;1,98E-06;5,59E-07;7,86E-07;9,06E-06
34;7,88E-06;2,21E-06;7,37E-07;1,06E-06;1,19E-05
37;1,01E-05;2,29E-06;8,95E-07;1,30E-06;1,46E-05
40;6,82E-06;2,42E-06;7,33E-07;1,03E-06;1,10E-05
