1;7,54E-08;8,74E-09;2,00E-10;5,15E-08;1,36E-07
4;7,54E-08;5,40E-08;1,89E-09;4,87E-08;1,80E-07
7;7,54E-08;9,92E-08;3,58E-09;4,58E-08;2,24E-07
10;1,09E-07;1,44E-07;5,28E-09;4,27E-08;3,01E-07
13;7,54E-08;1,90E-07;7,01E-09;4,01E-08;3,12E-07
16;7,79E-08;2,35E-07;9,33E-09;3,67E-08;3,59E-07
19;7,89E-08;2,80E-07;1,13E-08;3,35E-08;4,04E-07
22;1,58E-07;3,36E-07;1,93E-08;3,14E-08;5,45E-07
25;3,47E-07;5,28E-07;5,20E-08;7,40E-08;1,00E-06
28;8,88E-07;8,39E-07;1,31E-07;1,81E-07;2,04E-06
31;1,86E-06;1,13E-06;2,43E-07;3,41E-07;3,58E-06
34;3,20E-06;1,34E-06;3,68E-07;5,26E-07;5,44E-06
37;4,86E-06;1,48E-06;5,02E-07;7,32E-07;7,57E-06
40;6,14E-06;1,49E-06;5,89E-07;8,70E-07;9,09E-06
