Nsta;2Mbps-MCS6;2Mbps-MCS9;5Mbps-MCS6;5Mbps-MCS9;8Mbps-MCS6;8Mbps-MCS9
1;0.15;0.14;0.12;0.1;0.11;0.09
4;0.21;0.18;0.18;0.15;0.17;0.14
7;0.27;0.22;0.26;0.21;0.32;0.25
10;0.38;0.3;0.41;0.31;;
13;0.39;0.31;;;;
16;0.46;0.36;;;;
19;0.53;0.4;;;;
22;0.78;0.55;;;;
