1;7,53E-08;5,75E-09;1,92E-10;2,00E-08;1,01E-07
4;7,54E-08;5,08E-08;1,88E-09;1,72E-08;1,45E-07
7;9,08E-08;9,59E-08;3,65E-09;1,41E-08;2,05E-07
10;1,37E-07;1,51E-07;7,96E-09;1,45E-08;3,10E-07
13;2,22E-07;2,52E-07;1,83E-08;2,94E-08;5,22E-07
16;3,68E-07;3,94E-07;3,76E-08;5,61E-08;8,55E-07
19;6,15E-07;5,79E-07;6,98E-08;1,00E-07;1,36E-06
22;1,12E-06;8,47E-07;1,29E-07;1,84E-07;2,28E-06
25;1,68E-06;1,09E-06;1,92E-07;2,72E-07;3,23E-06
28;3,15E-06;1,45E-06;3,40E-07;4,87E-07;5,43E-06
31;4,45E-06;1,56E-06;4,38E-07;6,37E-07;7,09E-06
34;6,40E-06;1,77E-06;6,03E-07;8,87E-07;9,66E-06
37;8,35E-06;1,87E-06;7,47E-07;1,12E-06;1,21E-05
40;9,85E-06;1,86E-06;8,54E-07;1,28E-06;1,39E-05
