1;7,53E-08;5,00E-09;1,91E-10;1,21E-08;9,26E-08
4;7,54E-08;5,01E-08;1,88E-09;9,32E-09;1,37E-07
7;1,30E-07;1,06E-07;5,45E-09;1,07E-08;2,53E-07
10;2,02E-07;1,95E-07;1,32E-08;2,22E-08;4,32E-07
13;3,19E-07;3,16E-07;2,73E-08;4,27E-08;7,05E-07
16;5,18E-07;4,80E-07;5,19E-08;7,69E-08;1,13E-06
19;8,47E-07;6,82E-07;9,02E-08;1,30E-07;1,75E-06
22;1,47E-06;9,64E-07;1,59E-07;2,27E-07;2,81E-06
25;2,45E-06;1,29E-06;2,61E-07;3,74E-07;4,38E-06
28;3,78E-06;1,56E-06;3,81E-07;5,53E-07;6,28E-06
31;5,20E-06;1,70E-06;4,95E-07;7,26E-07;8,13E-06
34;6,72E-06;1,97E-06;6,33E-07;9,31E-07;1,02E-05
37;8,75E-06;1,88E-06;7,60E-07;1,14E-06;1,25E-05
40;1,06E-05;2,03E-06;9,05E-07;1,36E-06;1,49E-05
