NSta=4
6.744999999996892e-08
4.182479999998989e-07
6.353399999969866e-08
2.403439999998369e-07
2.966420000003467e-07
6.242199999917375e-08
6.772599999926854e-08
6.102400000074226e-08
8.282199999953833e-08
6.312000000008311e-08
6.891199999969899e-08
1.3420999999880222e-07
6.600800000100549e-08
2.1531200000168836e-07
1.2710400000059962e-07
6.824020000024689e-07
6.619999999912807e-08
6.84979999974189e-08
6.228400000196643e-08
6.458200000025726e-08
6.238600000330052e-08
8.768400000036536e-08
6.347000000062053e-08
6.877399999893896e-08
8.007200000292869e-08
1.698700000005715e-07
6.41680000015299e-08
6.095999999899959e-08
6.025199999726283e-08
6.305600000189315e-08
2.1636000000313515e-07
2.281459999977642e-07
6.143800000302236e-08
6.724799999346942e-08
6.054600000027222e-08
1.623320000021522e-07
6.562999999459862e-08
6.343399999764187e-08
4.0673799999524364e-07
6.102400000429498e-08
2.678219999978637e-07
2.0711999999889485e-07
6.891200000325171e-08
6.521599999587124e-08
6.200800000044637e-08
7.03000000044085e-08
6.410400000333993e-08
6.640200000163076e-08
3.0019999999808534e-07
