NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12;NSta=13;NSta=14;NSta=15;NSta=16;NSta=17;NSta=18;NSta=19;NSta=20;NSta=21;NSta=22;NSta=23;NSta=24;NSta=25
6.104200000001114e-08;6.708999999993638e-08;6.233800000021717e-08;6.71799999998335e-08;6.345999999979314e-08;6.087999999992988e-08;6.431800000017419e-08;2.3734800000019266e-07;2.514140000000609e-07;6.744399999991657e-08;6.447999999981137e-08;6.53279999998091e-08;6.168600000000524e-08;6.761800000010253e-08;6.817200000019951e-08;6.85940000000329e-08;2.4031199999985374e-07;6.422600000011158e-08;6.46959999999197e-08;3.108940000000615e-07;2.133500000001121e-07;1.0149479999999046e-06;9.93810000000206e-07;2.5560200000001032e-06;1.0907859999997885e-06
6.011999999966378e-08;6.02460000003191e-08;6.412200000038837e-08;6.649200000019562e-08;1.3411199999957545e-07;6.345999999979314e-08;6.687000000038523e-08;9.298999999973745e-08;7.212800000022668e-08;6.02479999995964e-08;6.13620000002868e-08;1.8348800000023146e-07;6.27680000002684e-08;1.447519999997482e-07;5.111160000002002e-07;8.945999999987463e-08;1.3011199999990454e-07;3.8896600000004613e-07;2.010700000001364e-07;1.2855260000002034e-06;1.2085174000000088e-05;2.7225480000000245e-05;5.87352000000152e-07;7.231939999998715e-07;0.000124510186
6.605400000037066e-08;6.610800000039773e-08;6.09179999999654e-08;6.621599999956374e-08;5.54757999999822e-07;3.030400000003652e-07;6.6377999999645e-08;1.978319999995648e-07;6.44860000003078e-08;1.6853999999977278e-07;6.159399999994264e-08;6.764799999992023e-08;6.285599999955593e-08;6.475600000044325e-08;4.925660000001387e-07;7.89368000000401e-07;1.0379479999995666e-06;8.370000000024192e-08;8.68260000004284e-08;6.707400000038889e-08;3.6842540000003863e-06;1.865900000000309e-06;6.050152000000253e-06;1.295759999999646e-07;9.487459999997228e-07
6.51319999995792e-08;6.826399999937393e-08;6.570799999927602e-08;1.4053399999980344e-07;6.139799999971274e-08;4.546199999992951e-07;6.29360000008461e-08;6.406199999986484e-08;6.82120000004005e-08;2.04344000000134e-07;6.64579999991588e-08;6.360799999960422e-08;6.295000000022812e-08;6.88719999999421e-08;9.35040000005216e-08;6.8227999999948e-08;7.98179999996762e-08;3.184520000001357e-07;6.323799999918833e-08;3.676939999994744e-07;1.3653179999995046e-06;1.5871660000001952e-06;6.066135999999389e-06;1.5513380000005127e-06;1.860339399999944e-05
6.806000000025848e-08;6.512600000085911e-08;6.549199999916766e-08;6.525200000062627e-08;6.705000000017946e-08;6.420000000062486e-08;6.544999999924527e-08;7.809799999947132e-08;6.057599999920171e-08;6.163599999986504e-08;9.96900000007628e-08;2.0274999999969625e-07;6.503200000018694e-08;3.548940000008827e-07;6.194200000031458e-08;8.610000000075502e-08;6.607999999985736e-08;6.751979999997104e-07;6.604999999915151e-08;1.5826599999968493e-07;2.518397999999422e-06;4.141579999998868e-07;4.80151999999734e-07;3.726778000000764e-06;8.1238060000004e-06
6.71380000003552e-08;6.128799999949309e-08;6.727599999933886e-08;6.456400000054429e-08;6.570200000055593e-08;6.576800000068772e-08;6.4996000000761e-08;6.054600000027222e-08;6.529000000021767e-08;6.042799999939063e-08;7.657199999933085e-08;3.697220000002943e-07;6.111399999930711e-08;6.60099999993946e-08;3.6414799999917593e-07;6.1966000000524e-08;9.442400000025943e-08;1.9492600000070585e-07;6.071199999979627e-08;8.898740000002903e-07;2.05586200000063e-06;8.736999999925389e-08;6.769800000050453e-08;5.283006000000867e-06;9.705484800000086e-05
6.407200000069224e-08;6.414399999954412e-08;6.707800000071986e-08;6.428800000080059e-08;6.83479999992187e-08;6.23480000001564e-08;6.750999999916018e-08;2.369820000005518e-07;7.865399999928968e-08;6.172600000020623e-08;6.779799999989679e-08;2.4687600000028454e-07;1.0920799999958321e-07;2.100259999995302e-07;2.3434200000060914e-07;6.476999999982525e-08;6.123600000051966e-08;7.437019999994021e-07;2.0564799999966965e-07;6.344600000041111e-08;8.655120000007344e-07;1.960742000001403e-06;3.207657999999114e-06;8.570199999979877e-08;1.965414800000076e-05
6.700000000137152e-08;6.100599999925294e-08;6.68620000006115e-08;6.401199999928053e-08;6.499999999931561e-08;6.792799999999489e-08;4.060300000006123e-07;6.340599999887786e-08;6.403000000076987e-08;6.502400000130137e-08;7.601800000145433e-08;6.502400000130137e-08;6.029000000040698e-08;6.803000000132899e-08;6.002399999971432e-08;6.26480000001095e-08;6.104199999867889e-08;2.6541800000146055e-07;1.818980000010129e-07;6.504799999973443e-08;1.1792348000000176e-05;7.403805999999236e-06;1.2630780000009168e-06;2.04138279999988e-05;3.092251999998297e-06
6.607799999969188e-08;6.31620000000055e-08;6.864599999900633e-08;6.332399999919858e-08;6.064600000144083e-08;6.65079999997431e-08;6.357599999873286e-08;3.218539999991777e-07;2.117499999982897e-07;1.328280000016946e-07;1.3590000000007766e-07;6.297799999899212e-08;6.437200000064536e-08;2.6316399999970485e-07;1.3532540000014135e-06;6.851399999874275e-08;6.549200000094402e-08;2.061640000015075e-07;3.496600000012506e-07;3.866439999988813e-07;1.416919999996935e-07;1.849961799999989e-05;5.849719999986292e-07;3.164542000000381e-06;7.869232000000893e-06
6.301199999825258e-08;6.002399999971432e-08;1.014419999982863e-07;2.7904799999944884e-07;6.32920000001036e-08;6.008200000096053e-08;3.3308400000109375e-07;6.328999999993812e-08;6.61079999986214e-08;6.811400000117373e-08;6.013200000154484e-08;6.114400000001298e-08;1.3464899999995338e-06;6.016800000097078e-08;6.86799999982668e-08;6.718599999899766e-08;2.1019800000132705e-07;1.989945999998355e-06;6.207199999863633e-08;1.4324600000037437e-07;6.52219999999204e-08;1.2158840000005e-06;5.736886000001107e-06;3.7915223999998914e-05;8.347600000035983e-08
6.209000000012566e-08;6.218000000046688e-08;6.523200000074781e-08;6.236000000114929e-08;6.293799999923521e-08;6.865599999983373e-08;6.864199999867537e-08;6.472600000151373e-08;2.698340000009125e-07;2.649179999991702e-07;6.899599999954377e-08;6.110400000025607e-08;6.055400000093413e-08;6.728400000000079e-08;1.4138599999924396e-07;5.490879999996423e-07;6.409799999929079e-08;1.0196499999999276e-06;2.078400000016245e-07;7.098419999991279e-07;7.889379999994617e-07;1.227360000001454e-06;7.187913999999296e-06;4.035460000011426e-07;8.857519999985186e-07
6.501800000080494e-08;6.804199999876915e-08;6.501600000063946e-08;6.208399999962921e-08;6.85900000014783e-08;1.0224800000102618e-07;6.215599999848109e-08;6.516199999850869e-08;6.019799999990027e-08;1.4021599999836098e-07;6.822199999945156e-08;6.023999999982265e-08;6.263599999911663e-08;6.329400000026909e-08;2.5831800000020164e-07;3.9255400000115526e-07;6.536000000068043e-08;7.034019999991869e-07;2.0925200000121438e-07;3.574260000007712e-07;1.1196858000001695e-05;2.387710000000709e-06;1.4096399999985465e-07;5.608119999997996e-07;0.0001023344679999
6.40959999991253e-08;6.420400000095583e-08;6.679999999903429e-08;6.139599999954726e-08;6.72420000000784e-08;6.78160000013861e-08;6.170199999999683e-08;6.060999999846217e-08;6.591200000016783e-08;6.200800000044638e-08;5.341160000007506e-07;6.22059999990654e-08;1.6571800000164674e-07;6.242199999917376e-08;4.292739999982586e-07;1.414199999985044e-07;5.388279999998246e-07;6.212999999988255e-08;3.6161999999961844e-07;6.480220000000259e-07;1.17608800000113e-06;5.624738000001628e-06;2.5103440000009413e-06;1.0107979999993688e-06;2.87191199999981e-06
6.10300000012387e-08;6.705999999923053e-08;6.660200000041527e-08;6.112000000157991e-08;6.088800000014771e-08;6.439599999907843e-08;6.4215999998396e-08;6.404000000159726e-08;6.326999999828331e-08;3.9830600000101413e-07;6.133600000168827e-08;6.236600000164571e-08;6.78060000005587e-08;1.014320000010116e-07;6.845600000104925e-08;2.002979999993215e-07;6.850999999841178e-08;6.886399999928018e-08;8.551260000011496e-07;1.71611999999044e-07;7.053863999999521e-06;1.1938899999996977e-06;5.990520000000998e-06;3.4911219999997917e-06;4.749785999997869e-06
6.010799999955906e-08;1.1722200000008344e-07;6.838599999881013e-08;6.644400000155315e-08;6.8540000000894e-08;6.297599999882664e-08;3.067799999989518e-07;6.246999999959258e-08;6.400199999845314e-08;6.810400000034633e-08;4.822060000009287e-07;6.331999999886761e-08;6.789400000073443e-08;7.25420000016186e-08;6.014999999948145e-08;6.138199999838889e-08;1.348780000007821e-07;6.160999999949013e-08;6.784400000015013e-08;8.33220000000523e-07;4.1701540000005365e-06;1.289811000000185e-05;1.4916020000015351e-06;9.767816000000095e-06;5.006377200000145e-05
6.303600000023834e-08;6.607800000324459e-08;6.816999999870177e-08;6.01560000035306e-08;3.6219199999720796e-07;6.855600000221786e-08;6.028199999974504e-08;4.149179999970443e-07;6.443719999964515e-07;3.154079999987403e-07;6.008199999740782e-08;1.324739999972735e-07;6.697599999938576e-08;6.155799999874034e-08;6.134400000235018e-08;6.525399999901537e-08;1.3568399999996928e-07;1.1913680000006369e-06;1.223779999996566e-06;8.348040000001333e-07;6.080953999997974e-06;6.029800000106889e-08;3.217304000003196e-06;1.755390999999662e-05;2.831858000000409e-06
6.512000000213904e-08;6.223999999832586e-08;6.395999999853075e-08;6.247400000347624e-08;6.6832000001682e-08;1.0012999999986505e-07;6.283399999773566e-08;6.535400000018398e-08;6.30799999967735e-08;6.719400000321229e-08;2.523200000013049e-07;6.343999999813833e-08;6.305800000205863e-08;1.396799999966447e-07;1.3603800000083765e-07;2.121320000014748e-07;9.00340000029587e-08;6.008999999806976e-08;7.281799999958593e-08;8.33880000001841e-08;6.32320000022446e-08;1.0047731999996755e-05;2.615826000003096e-06;2.52822000000208e-07;1.8006999999968795e-06
6.804800000281829e-08;6.509600000015325e-08;6.075600000343684e-08;6.819200000052207e-08;6.04780000017513e-08;6.670399999819665e-08;2.1834799999709281e-07;6.078999999914458e-08;6.004560000008041e-07;9.049199999822123e-08;6.853400000039756e-08;8.259999999893353e-08;6.915800000228956e-08;6.169600000305309e-08;6.273200000350699e-08;3.160280000003013e-07;9.683999999765546e-08;3.06842000000529e-07;2.8277399999865336e-07;6.140019999989477e-07;1.539020000002722e-06;8.63180199999647e-06;9.66870599999936e-06;0.000164401382;0.000130075824
6.712599999758594e-08;6.125800000233996e-08;6.25400000018317e-08;6.451600000190183e-08;6.813000000249758e-08;6.82900000015252e-08;6.491199999913988e-08;6.522599999669864e-08;6.717000000122654e-08;3.102960000020971e-07;2.3740999999688486e-07;6.553600000103188e-08;2.512399999972104e-07;1.0598300000026484e-06;6.692600000235417e-08;5.690879999988852e-07;3.161959999999908e-07;6.557599999723607e-08;4.841479999981857e-07;6.357400000212012e-08;9.857999999951517e-08;2.398169800000005e-05;1.0779240000005077e-06;8.807379999993258e-07;3.9233179999982325e-06
