NSta=9;NSta=12;NSta=15;NSta=18
2,36E-07;2,00E-06;2,14E-05;0,000149773
2,29E-07;2,02E-06;3,01E-07;9,14E-07
1,01E-06;2,57E-06;6,11E-06;1,11E-06
1,91E-07;2,20E-05;9,71E-07;1,26E-06
1,28E-05;1,52E-05;9,72E-08;3,33E-07
6,55E-06;8,72E-08;2,34E-06;8,95E-06
2,69E-05;2,56E-06;1,25E-06;0,000124676
8,59E-07;1,38E-05;1,27E-06;1,11E-07
1,33E-06;8,92E-05;3,17E-06;1,11E-07
8,21E-07;8,40E-07;1,24E-05;3,05E-06
1,09E-07;1,39E-05;2,28E-06;7,57E-06
1,52E-07;4,01E-06;9,44E-08;3,88E-06
3,03E-06;7,49E-06;4,61E-07;9,55E-08
1,40E-07;8,98E-08;1,55E-05;1,12E-07
3,49E-07;7,41E-08;3,64E-06;0,000176386
1,01E-07;1,33E-06;5,91E-07;1,02E-05
9,55E-07;6,29E-06;8,55E-08;1,12E-05
6,97E-07;2,85E-06;5,01E-06;4,64E-07
5,07E-07;1,17E-06;1,58E-07;9,03E-05
9,57E-07;1,05E-07;1,46E-05;8,19E-07
7,74E-07;1,40E-06;8,49E-07;2,58E-05
6,37E-07;1,57E-06;5,62E-06;5,79E-06
1,35E-06;3,39E-07;9,27E-06;1,19E-05
7,35E-08;8,14E-07;4,47E-07;8,21E-08
1,36E-07;9,84E-07;1,43E-05;1,55E-05
1,83E-07;2,80E-06;3,65E-06;7,46E-06
9,39E-07;4,92E-06;5,49E-06;5,03E-07
2,82E-07;6,45E-06;1,39E-06;5,77E-05
1,75E-05;1,60E-06;4,54E-05;2,62E-05
1,60E-06;2,52E-06;5,40E-07;9,56E-05
7,46E-07;5,68E-07;2,24E-06;8,92E-05
1,57E-07;4,65E-06;2,27E-06;8,04E-08
9,45E-07;3,05E-06;9,12E-05;0,000146284
3,00E-06;1,29E-06;4,99E-05;1,43E-05
7,50E-08;0,000111634;1,28E-05;2,41E-05
8,96E-08;1,86E-07;5,46E-06;9,16E-07
9,42E-07;1,35E-06;8,05E-08;1,07E-07
7,27E-08;1,30E-06;2,52E-05;3,93E-06
5,57E-07;7,93E-06;1,68E-06;4,32E-06
1,86E-07;2,63E-06;8,81E-08;3,57E-06
1,23E-06;9,67E-07;2,87E-06;1,12E-05
7,32E-08;7,77E-08;9,06E-07;8,45E-06
1,58E-07;1,94E-06;2,16E-06;2,51E-06
1,08E-07;6,45E-07;5,50E-07;2,15E-06
8,09E-08;1,83E-07;3,82E-06;
9,26E-08;3,66E-05;3,12E-05;
2,11E-07;3,34E-06;;
8,51E-07;5,24E-07;;
5,63E-06;9,94E-07;;
1,97E-06;7,97E-06;8,94E-06;2,61E-05
