NSta=9;NSta=12;NSta=15;NSta=18;NSta=21
6,34E-08;6,85E-08;6,57E-08;8,98E-08;5,99E-05
2,41E-07;6,85E-08;2,32E-07;8,01E-07;7,84E-07
6,65E-08;6,46E-08;4,50E-07;1,32E-06;4,85E-07
1,02E-07;9,16E-08;7,62E-08;6,84E-08;4,49E-06
6,56E-08;7,58E-08;1,76E-06;3,66E-07;2,68E-06
6,13E-08;6,17E-08;8,39E-07;4,99E-07;9,40E-08
6,36E-08;6,29E-08;6,76E-08;5,98E-07;3,39E-06
6,40E-08;1,36E-07;6,40E-08;2,36E-07;7,80E-07
7,08E-07;6,30E-08;2,04E-07;2,02E-07;9,56E-08
6,61E-08;2,05E-07;3,29E-07;8,12E-08;6,83E-08
6,48E-08;7,82E-07;6,48E-07;3,53E-07;1,31E-06
6,52E-08;5,10E-07;1,35E-07;6,64E-08;7,98E-07
2,43E-07;1,31E-07;3,33E-07;6,12E-08;3,43E-06
6,83E-08;6,34E-08;6,04E-08;8,46E-08;4,65E-06
6,50E-08;1,73E-07;6,19E-08;6,20E-08;1,30E-07
3,80E-07;1,30E-07;6,01E-08;4,97E-07;8,38E-07
6,31E-08;6,84E-08;2,82E-07;8,83E-07;1,73E-07
6,04E-08;3,79E-07;6,47E-08;3,89E-07;2,13E-06
1,65E-07;1,43E-07;6,04E-08;1,35E-07;6,01E-07
6,25E-08;6,17E-08;4,17E-07;2,04E-07;1,62E-07
6,22E-08;6,47E-08;5,62E-07;7,80E-07;6,75E-06
6,66E-08;6,18E-08;6,50E-08;6,19E-08;2,18E-07
1,29E-07;8,98E-08;4,56E-07;6,34E-07;1,02E-07
2,16E-07;2,30E-07;5,35E-07;6,14E-08;6,56E-08
6,51E-08;6,01E-08;6,63E-07;5,64E-07;1,28E-07
6,48E-08;6,20E-08;6,08E-08;6,75E-08;3,47E-07
1,75E-07;6,12E-08;3,23E-07;7,21E-07;6,33E-08
6,09E-08;6,22E-08;2,05E-07;3,74E-07;5,96E-06
6,62E-08;6,83E-08;1,34E-07;6,45E-08;4,98E-06
1,04E-06;1,44E-07;6,86E-08;7,40E-08;1,36E-07
6,53E-08;6,64E-08;7,78E-08;1,34E-06;7,87E-08
2,01E-07;2,41E-07;1,98E-07;2,38E-07;3,78E-07
6,44E-08;6,85E-08;6,57E-08;1,35E-07;6,01E-06
2,94E-07;6,05E-08;7,41E-08;7,92E-08;1,22E-06
6,15E-08;1,02E-07;7,93E-08;8,31E-07;4,48E-06
1,39E-07;3,87E-07;1,42E-07;6,54E-08;2,27E-05
6,46E-08;6,28E-08;2,17E-07;2,03E-07;1,11E-06
2,02E-07;6,77E-08;7,08E-07;5,34E-07;8,12E-07
6,46E-08;6,59E-08;6,13E-08;4,14E-07;1,02E-06
6,40E-08;3,84E-07;6,53E-08;6,01E-08;2,75E-05
4,21E-07;6,70E-08;6,43E-07;2,57E-07;1,63E-07
6,61E-08;6,31E-08;2,62E-07;6,57E-07;8,32E-08
6,08E-08;7,78E-07;6,71E-08;6,53E-08;7,86E-06
6,02E-08;6,53E-08;1,67E-07;6,44E-08;5,93E-07
6,69E-08;2,00E-07;3,81E-07;8,85E-08;6,69E-08
6,43E-08;6,74E-08;1,42E-07;7,05E-08;5,18E-06
6,20E-08;2,04E-07;6,69E-08;6,70E-08;6,42E-08
3,37E-07;7,55E-08;9,36E-08;4,21E-07;7,94E-07
6,31E-08;6,54E-08;6,43E-08;4,16E-07;5,99E-06
1,45E-07;1,50E-07;2,62E-07;3,35E-07;3,92E-06
