NSta=9;NSta=12;NSta=15;NSta=18
2,46E-06;1,40E-06;3,98E-05;9,49E-08
8,01E-07;1,06E-07;6,24E-06;4,15E-06
6,24E-06;3,01E-06;6,96E-06;1,34E-05
9,69E-06;9,19E-06;1,41E-05;8,10E-06
6,82E-07;6,95E-06;1,06E-07;5,59E-06
5,29E-07;8,55E-06;4,15E-06;1,41E-06
3,98E-06;3,54E-07;6,85E-05;7,27E-06
1,08E-06;2,13E-06;4,26E-07;7,93E-08
1,10E-07;1,75E-07;7,76E-06;9,04E-06
1,50E-07;9,80E-08;0,00017502;4,01E-05
1,29E-06;3,37E-06;1,12E-07;7,60E-08
6,03E-07;1,91E-06;1,53E-05;1,39E-05
1,18E-07;5,50E-06;9,64E-05;1,46E-05
7,67E-06;0,000101368;1,08E-06;1,12E-06
5,55E-07;4,31E-06;2,80E-06;2,39E-06
2,80E-06;9,11E-08;2,08E-06;8,35E-06
4,08E-06;1,01E-07;1,39E-05;8,14E-07
5,71E-06;1,50E-07;5,42E-06;2,66E-06
1,05E-07;6,36E-05;1,12E-07;9,37E-05
1,44E-07;2,55E-06;1,04E-07;9,15E-07
2,21E-06;1,03E-05;9,77E-08;1,44E-06
1,49E-07;7,33E-08;7,66E-06;1,98E-06
3,87E-05;4,72E-06;7,34E-08;3,33E-06
4,12E-07;9,07E-07;8,14E-06;6,55E-06
1,36E-05;3,36E-06;2,20E-06;8,96E-06
2,20E-06;1,54E-06;7,29E-06;4,58E-06
4,21E-07;2,09E-06;6,32E-06;1,62E-06
8,08E-08;1,08E-06;7,99E-05;2,76E-06
1,47E-06;1,30E-05;1,11E-07;1,01E-05
7,28E-08;1,08E-06;9,34E-07;6,08E-05
2,18E-06;3,85E-06;1,05E-05;1,90E-06
6,50E-06;7,95E-08;1,22E-06;1,76E-06
1,34E-06;1,17E-06;3,31E-06;1,30E-05
1,08E-06;7,30E-08;1,04E-05;6,21E-06
1,17E-06;8,38E-07;8,87E-08;4,03E-06
2,65E-06;4,46E-05;3,21E-06;2,94E-07
3,25E-07;1,81E-06;8,43E-08;6,44E-05
2,22E-06;2,01E-06;1,03E-07;4,62E-06
1,02E-07;3,60E-06;5,99E-06;1,22E-05
7,54E-08;2,59E-06;3,66E-05;8,96E-07
1,79E-06;1,65E-06;1,02E-05;1,53E-06
7,66E-05;9,39E-07;4,58E-06;4,22E-06
7,22E-08;8,07E-07;1,23E-06;4,93E-07
4,38E-06;1,50E-07;7,04E-06;2,66E-06
1,12E-06;1,57E-07;6,05E-06;
1,54E-06;2,24E-05;;
9,27E-08;8,52E-07;;
7,63E-07;1,38E-07;;
;1,86E-06;;
4,42E-06;7,10E-06;1,50E-05;1,02E-05
