NSta=9;NSta=12;NSta=15;NSta=18
1,82E-07;2,25E-05;9,11E-08;1,54E-05
3,47E-06;8,74E-07;6,02E-07;1,49E-06
3,73E-06;6,01E-07;2,34E-05;6,76E-07
2,81E-07;3,87E-07;1,21E-05;2,82E-05
7,73E-08;6,41E-07;1,64E-06;5,72E-05
3,14E-07;2,66E-05;7,10E-06;1,31E-05
1,45E-06;8,18E-06;8,00E-06;1,51E-05
8,95E-08;4,34E-06;8,38E-06;2,70E-05
1,52E-07;1,31E-07;6,25E-06;6,08E-06
1,06E-06;2,96E-05;1,61E-05;1,68E-06
5,32E-07;1,29E-06;2,52E-07;1,81E-05
1,70E-06;5,17E-07;1,93E-06;2,68E-05
6,61E-08;1,15E-06;1,09E-06;4,19E-06
1,21E-06;1,54E-06;1,35E-06;9,57E-06
1,39E-06;9,81E-06;5,54E-07;1,12E-06
2,92E-06;2,29E-07;8,53E-06;2,12E-06
3,28E-07;2,23E-06;1,34E-07;1,52E-05
6,80E-08;2,19E-06;1,82E-06;1,06E-05
5,02E-07;9,38E-08;5,94E-06;9,57E-07
5,95E-06;1,02E-07;4,56E-06;9,42E-08
6,67E-08;8,52E-07;4,80E-06;0,000142675
7,79E-06;2,82E-06;2,49E-05;1,71E-05
9,18E-08;1,08E-06;1,43E-06;9,12E-06
9,61E-08;6,15E-08;6,21E-06;6,95E-07
3,58E-07;3,08E-07;2,47E-07;4,39E-05
5,06E-07;2,22E-06;5,66E-06;7,76E-07
1,27E-07;1,90E-06;4,00E-06;5,56E-06
1,36E-07;7,12E-07;8,84E-07;7,19E-08
1,31E-07;1,62E-06;1,58E-05;3,12E-06
6,97E-08;6,31E-08;9,03E-07;5,85E-06
6,75E-08;6,36E-08;9,28E-08;3,45E-06
2,62E-06;7,99E-07;2,44E-05;0,00016304
3,06E-07;7,58E-08;2,05E-06;1,90E-05
2,12E-06;8,30E-05;7,41E-06;3,78E-06
1,37E-07;3,38E-06;1,09E-05;9,36E-08
5,14E-07;6,08E-08;6,23E-07;5,68E-06
1,39E-07;8,10E-06;1,24E-06;4,35E-07
9,81E-08;1,31E-06;4,07E-05;1,06E-06
1,84E-06;6,75E-08;8,57E-07;7,81E-07
1,33E-07;9,19E-06;4,73E-06;4,12E-06
1,89E-06;9,16E-08;6,65E-08;6,22E-08
1,38E-06;7,51E-08;2,20E-05;7,44E-08
4,41E-07;1,34E-05;1,51E-06;2,30E-05
4,04E-06;6,45E-08;6,34E-06;2,58E-06
8,19E-07;5,83E-06;2,33E-06;
6,68E-07;4,88E-06;3,90E-07;
6,97E-07;7,43E-08;5,27E-05;
4,66E-07;4,14E-06;5,96E-05;
2,62E-06;6,59E-07;;
1,14E-06;5,30E-06;8,60E-06;1,62E-05
