NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12
2,85E-07;7,89E-08;7,64E-08;8,86E-07;4,29E-07;4,30E-07;2,82E-07;7,98E-08;1,59E-06;1,51E-07;8,02E-08;1,06E-07
7,43E-08;7,76E-08;8,09E-08;7,52E-08;7,46E-07;1,50E-07;7,41E-08;2,08E-06;1,07E-07;2,26E-06;5,47E-07;1,10E-06
7,41E-08;1,01E-07;3,44E-07;7,75E-08;7,45E-08;7,70E-08;7,34E-07;1,21E-06;2,67E-06;3,29E-06;9,77E-05;3,37E-07
7,93E-08;7,74E-08;7,81E-08;7,73E-08;1,02E-07;2,01E-07;2,15E-07;4,10E-07;6,21E-06;7,34E-08;1,29E-05;0,00011987
7,31E-08;7,40E-08;7,46E-08;7,96E-08;5,60E-07;7,69E-08;3,33E-06;1,44E-07;7,20E-07;1,23E-07;1,08E-05;8,15E-07
7,53E-08;7,27E-08;7,90E-08;7,94E-08;7,46E-08;7,83E-08;5,25E-07;2,87E-07;1,80E-06;6,75E-07;1,42E-05;1,03E-05
7,52E-08;7,53E-08;2,29E-07;1,09E-07;7,67E-08;7,63E-08;7,70E-08;7,43E-08;3,30E-06;1,40E-07;4,18E-07;3,15E-06
7,44E-08;7,25E-08;7,92E-08;7,25E-08;1,08E-07;1,06E-07;1,13E-07;7,00E-07;4,13E-06;3,95E-06;1,32E-05;1,43E-06
7,42E-08;7,81E-08;7,27E-08;9,88E-08;7,80E-08;3,00E-07;4,37E-07;4,67E-07;2,64E-06;1,52E-06;6,11E-06;1,20E-06
7,40E-08;7,78E-08;7,82E-08;1,10E-07;7,41E-08;7,41E-08;4,69E-07;1,35E-06;5,33E-07;6,43E-06;1,50E-05;4,16E-06
1,57E-07;7,94E-08;3,29E-07;1,94E-07;1,55E-07;5,79E-07;9,18E-08;7,67E-08;2,89E-05;3,55E-06;1,15E-05;0,000176308
7,90E-08;7,61E-08;7,31E-08;7,72E-08;3,46E-07;1,05E-07;4,24E-07;5,20E-07;5,09E-05;1,92E-07;2,68E-06;6,11E-07
7,52E-08;7,32E-08;2,51E-07;7,60E-08;8,02E-08;7,94E-08;1,42E-07;1,13E-07;3,54E-07;3,84E-06;7,98E-08;3,62E-06
7,51E-08;7,59E-08;7,93E-08;7,23E-08;7,43E-08;1,56E-07;7,76E-08;7,09E-07;1,49E-07;1,59E-06;1,24E-06;7,23E-08
8,03E-08;7,45E-08;7,78E-08;7,21E-08;1,44E-07;7,28E-08;7,36E-08;1,15E-05;1,11E-06;7,88E-08;9,79E-07;1,59E-06
8,01E-08;8,02E-08;8,03E-08;2,42E-07;4,34E-07;7,38E-08;1,06E-07;7,28E-08;1,03E-07;1,18E-06;1,36E-06;7,76E-08
7,63E-08;2,33E-07;2,70E-07;2,58E-07;7,44E-08;1,68E-07;7,91E-08;1,14E-07;6,46E-07;8,05E-06;1,19E-05;1,60E-06
7,91E-08;7,62E-08;8,05E-08;7,64E-08;3,94E-07;7,97E-08;7,36E-08;2,76E-06;2,29E-07;5,67E-07;1,55E-06;1,46E-07
7,23E-08;7,86E-08;7,59E-08;8,02E-08;2,30E-07;7,97E-07;1,15E-07;2,30E-07;7,63E-08;5,94E-07;8,21E-08;3,26E-05
7,21E-08;2,19E-07;7,24E-08;7,55E-08;7,37E-08;7,91E-08;7,21E-08;2,34E-06;1,13E-07;1,25E-06;2,00E-06;0,000121711
1,13E-07;7,84E-08;1,54E-07;1,83E-07;8,47E-08;4,10E-07;7,82E-08;2,48E-06;2,92E-06;1,09E-07;3,16E-06;3,32E-06
8,02E-08;7,51E-08;7,86E-08;7,76E-08;4,26E-07;8,09E-08;5,63E-07;1,16E-06;1,25E-06;1,93E-06;3,98E-06;1,92E-06
7,34E-08;1,01E-07;1,55E-07;7,74E-08;7,37E-08;7,74E-08;7,23E-08;6,03E-06;1,34E-05;1,97E-06;9,96E-08;9,09E-06
7,32E-08;7,64E-08;7,35E-08;4,46E-07;7,58E-08;7,33E-08;7,90E-08;1,45E-06;7,43E-08;5,55E-07;9,32E-08;4,78E-07
7,60E-08;7,30E-08;7,90E-08;7,60E-08;5,34E-07;2,07E-07;6,51E-07;8,20E-07;8,21E-08;1,82E-06;8,28E-08;1,33E-05
7,22E-08;7,92E-08;7,67E-08;2,95E-07;1,51E-07;3,76E-07;7,46E-08;1,15E-07;5,18E-07;9,45E-06;3,96E-06;8,06E-08
7,20E-08;7,45E-07;1,90E-07;2,34E-07;7,52E-08;1,50E-07;7,65E-07;6,17E-07;9,50E-07;1,62E-05;7,39E-06;3,18E-06
7,72E-08;8,05E-08;7,47E-08;7,79E-08;7,30E-08;7,36E-07;2,20E-07;7,97E-08;1,51E-06;7,94E-07;6,46E-07;2,07E-06
7,71E-08;7,71E-08;7,72E-08;7,72E-08;3,00E-07;2,50E-07;8,04E-08;8,64E-08;1,70E-07;1,82E-07;1,68E-05;1,40E-05
7,33E-08;2,63E-07;7,79E-08;7,40E-08;7,23E-08;7,45E-08;7,23E-07;5,15E-07;3,03E-06;1,35E-06;4,94E-07;7,58E-08
7,31E-08;7,69E-08;1,10E-07;9,73E-08;8,04E-08;2,14E-07;7,30E-08;8,46E-08;4,71E-06;1,80E-06;1,93E-06;9,23E-07
7,83E-08;7,56E-08;7,28E-08;7,91E-08;5,71E-07;7,89E-08;1,59E-07;1,02E-07;3,73E-06;8,85E-08;5,99E-06;4,81E-06
7,81E-08;7,22E-08;7,53E-08;7,24E-08;7,84E-08;7,38E-08;7,98E-07;1,41E-07;1,95E-07;5,85E-07;3,52E-07;7,74E-06
7,43E-08;7,53E-08;7,90E-08;1,50E-07;7,25E-08;3,17E-07;7,92E-08;3,94E-07;4,54E-07;2,15E-06;8,91E-08;7,72E-08
8,23E-08;1,07E-07;1,11E-07;1,48E-07;2,10E-07;2,26E-07;4,32E-07;1,09E-06;3,05E-06;3,69E-06;5,53E-06;1,26E-05
