NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12
7,61E-08;1,00E-07;2,14E-07;7,94E-08;8,04E-08;7,99E-08;8,00E-08;1,79E-07;7,49E-08;7,38E-08;1,10E-07;1,09E-07
7,23E-08;7,56E-08;7,41E-08;4,51E-07;8,06E-08;8,89E-08;7,23E-08;2,17E-06;1,82E-07;2,79E-06;2,59E-06;2,60E-06
7,51E-08;7,23E-08;7,95E-08;7,25E-08;5,24E-07;6,31E-07;1,05E-07;2,74E-06;1,06E-07;2,07E-06;4,64E-07;4,67E-05
7,73E-08;8,07E-08;7,50E-08;2,58E-07;4,07E-07;4,93E-07;9,05E-07;2,00E-06;7,74E-08;3,73E-06;8,05E-08;3,05E-06
7,72E-08;2,06E-07;1,43E-07;3,15E-07;7,58E-08;1,88E-07;1,17E-06;7,22E-08;7,52E-08;2,83E-06;7,78E-07;9,02E-08
7,64E-08;7,97E-08;7,52E-08;7,44E-08;8,08E-08;9,28E-07;3,33E-07;1,12E-07;2,47E-06;4,61E-05;2,89E-07;2,91E-07
7,62E-08;7,64E-08;7,77E-08;7,37E-08;1,12E-06;2,15E-07;7,24E-08;2,01E-06;1,63E-06;3,04E-06;1,10E-07;1,24E-06
7,60E-08;1,45E-07;7,41E-08;7,60E-08;7,30E-08;7,90E-08;3,85E-07;1,55E-07;8,48E-08;9,50E-08;1,13E-06;1,03E-06
7,82E-08;7,84E-08;1,99E-07;1,06E-07;7,49E-08;4,56E-07;8,07E-08;8,05E-08;1,94E-06;3,27E-05;7,36E-08;4,84E-06
7,20E-08;7,51E-08;7,81E-08;7,21E-08;7,30E-08;7,44E-08;8,92E-08;9,73E-07;1,65E-07;9,08E-07;6,10E-07;2,22E-06
7,72E-08;7,22E-08;7,58E-08;7,79E-08;7,91E-08;7,54E-08;1,19E-06;1,22E-06;2,28E-07;2,91E-07;8,53E-06;6,40E-07
7,71E-08;7,49E-08;7,53E-08;3,29E-07;2,19E-07;2,57E-07;1,07E-07;1,25E-06;5,42E-07;3,55E-06;1,01E-07;5,28E-07
7,33E-08;7,35E-08;7,38E-08;7,40E-08;1,76E-07;1,52E-07;1,75E-07;8,08E-07;1,20E-06;1,54E-06;7,34E-08;2,91E-06
7,31E-08;7,92E-08;7,62E-08;1,45E-07;1,31E-07;3,25E-07;4,37E-07;9,65E-08;6,74E-07;2,29E-06;5,86E-06;8,98E-06
7,83E-08;1,69E-07;1,04E-07;1,51E-07;7,74E-08;1,46E-07;4,04E-06;7,32E-08;7,27E-07;2,50E-07;4,52E-07;1,11E-06
