NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11
6,63E-08;6,04E-08;6,35E-08;6,59E-08;2,55E-07;9,67E-07;1,31E-05;6,64E-08;1,46E-07;6,56E-06;7,12E-07
6,30E-08;6,59E-08;1,02E-07;1,68E-07;1,02E-06;6,25E-08;8,31E-07;2,25E-06;3,32E-06;2,20E-06;3,93E-05
6,54E-08;6,43E-08;6,18E-08;6,17E-08;9,77E-07;1,01E-06;7,13E-07;1,48E-05;1,09E-06;6,81E-08;7,77E-08
6,21E-08;2,66E-07;1,36E-07;1,59E-07;8,64E-08;6,02E-08;8,24E-07;9,48E-07;7,13E-07;6,38E-08;1,33E-07
6,44E-08;6,12E-08;6,52E-08;6,43E-07;1,05E-06;1,28E-07;2,64E-06;3,20E-06;9,10E-07;2,25E-06;8,19E-08
6,11E-08;6,16E-08;6,43E-08;8,83E-08;2,30E-07;9,10E-07;1,72E-06;2,07E-06;6,88E-07;5,68E-07;5,19E-06
2,28E-07;9,91E-08;2,16E-07;2,90E-07;6,32E-08;7,66E-07;3,54E-07;1,45E-07;7,28E-08;7,92E-07;6,39E-05
6,32E-08;6,85E-08;6,66E-08;7,01E-08;3,42E-07;3,38E-07;1,30E-07;5,63E-07;1,46E-07;1,97E-06;9,74E-07
6,55E-08;6,69E-08;6,28E-08;6,29E-08;2,04E-07;;4,83E-07;2,18E-06;1,48E-06;1,92E-06;1,29E-06
7,44E-08;8,52E-08;9,33E-08;2,60E-07;3,28E-07;6,37E-07;1,50E-06;1,79E-06;6,95E-06;4,86E-06;1,16E-05
