NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12;NSta=13;NSta=14;NSta=15;NSta=16
7,60E-08;7,91E-08;8,03E-08;7,92E-08;7,55E-08;7,89E-08;7,33E-08;1,16E-07;2,75E-07;7,44E-08;7,35E-08;7,85E-08;7,37E-08;7,76E-08;7,29E-08;9,81E-08
7,81E-08;7,82E-08;7,91E-08;7,25E-08;2,60E-07;8,05E-08;7,29E-08;1,45E-07;9,61E-08;7,82E-08;7,54E-08;1,47E-07;7,68E-08;5,83E-07;4,01E-07;1,08E-07
7,81E-08;7,81E-08;7,89E-08;7,82E-08;2,30E-07;3,32E-07;8,74E-08;2,18E-07;7,95E-08;1,93E-07;7,86E-08;7,56E-08;7,29E-08;7,47E-08;1,10E-07;8,60E-07
8,01E-08;7,73E-08;7,47E-08;1,68E-07;7,84E-08;4,96E-07;7,49E-08;7,52E-08;4,37E-07;2,19E-07;7,55E-08;7,56E-08;7,79E-08;7,39E-08;7,95E-08;1,47E-07
7,41E-08;7,71E-08;8,05E-08;7,73E-08;7,91E-08;7,22E-08;7,74E-08;2,79E-07;7,56E-08;8,06E-08;1,90E-07;5,51E-07;7,90E-08;7,79E-08;7,79E-08;7,78E-08
7,61E-08;7,33E-08;7,93E-08;7,96E-08;7,47E-08;7,98E-08;8,00E-08;8,01E-08;7,63E-08;7,64E-08;9,86E-08;7,57E-08;7,71E-08;7,30E-08;2,01E-07;7,33E-08
7,61E-08;7,61E-08;7,61E-08;7,63E-08;8,03E-08;7,93E-08;7,35E-08;2,64E-07;1,06E-07;7,87E-08;8,08E-08;3,03E-07;1,41E-07;7,30E-08;4,84E-07;2,61E-07
7,90E-08;7,60E-08;7,29E-08;7,30E-08;7,40E-08;7,89E-08;4,51E-07;7,70E-08;7,30E-08;7,50E-08;9,70E-08;7,60E-08;1,43E-07;7,30E-08;7,90E-08;7,50E-08
7,21E-08;7,52E-08;8,06E-08;7,53E-08;8,16E-08;7,85E-08;7,56E-08;1,03E-07;6,44E-07;8,08E-08;1,69E-07;5,05E-07;7,24E-08;6,30E-07;8,71E-07;8,09E-08
7,20E-08;7,50E-08;2,06E-07;2,97E-07;7,83E-08;7,21E-08;3,60E-07;7,69E-08;7,81E-08;7,26E-08;7,51E-08;7,81E-08;1,42E-07;7,62E-08;7,69E-08;5,13E-07
7,41E-08;7,42E-08;7,42E-08;7,44E-08;7,49E-08;7,67E-08;7,76E-08;7,93E-08;7,27E-07;7,79E-08;7,50E-08;8,31E-08;5,61E-07;7,94E-08;2,78E-07;8,05E-07
7,70E-08;7,40E-08;8,00E-08;8,01E-08;7,76E-08;7,92E-08;8,02E-08;1,57E-07;7,52E-08;2,82E-07;9,22E-08;7,20E-08;9,96E-08;1,35E-06;2,82E-07;3,16E-07
7,91E-08;7,92E-08;7,88E-08;7,34E-08;7,32E-08;7,78E-08;7,37E-08;7,32E-08;7,49E-08;7,75E-08;9,24E-07;7,62E-08;7,57E-08;2,00E-07;1,46E-07;2,96E-07
7,90E-08;7,31E-08;7,56E-08;7,91E-08;7,89E-08;7,74E-08;7,62E-08;7,36E-08;7,63E-08;4,35E-07;7,73E-08;7,64E-08;7,88E-08;5,65E-07;1,55E-07;3,72E-07
7,21E-08;1,41E-07;7,44E-08;7,54E-08;7,45E-08;7,90E-08;3,49E-07;7,91E-08;7,70E-08;8,01E-08;3,69E-07;7,93E-08;7,39E-08;1,02E-07;7,77E-08;8,28E-08
7,50E-08;7,21E-08;8,02E-08;7,82E-08;2,51E-07;7,86E-08;7,83E-08;4,89E-07;1,40E-07;4,09E-07;7,54E-08;2,40E-07;7,50E-08;7,87E-08;7,43E-08;7,88E-08
7,41E-08;7,72E-08;7,60E-08;7,75E-08;7,88E-08;2,18E-07;7,78E-08;7,89E-08;7,91E-08;7,67E-08;2,83E-07;7,94E-08;7,61E-08;2,32E-07;2,95E-07;1,48E-07
