NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12;NSta=13;NSta=14;NSta=15;NSta=16
7,70E-08;8,01E-08;7,58E-08;7,72E-08;7,55E-08;7,67E-08;2,42E-07;7,64E-08;6,23E-07;1,05E-07;7,75E-08;6,12E-07;1,11E-07;7,37E-08;1,08E-07;7,13E-07
7,91E-08;7,63E-08;7,45E-08;7,35E-08;8,01E-08;2,07E-07;7,39E-08;3,43E-07;7,42E-08;3,46E-07;4,57E-07;7,45E-08;6,17E-07;2,11E-07;7,29E-08;4,33E-07
7,31E-08;2,83E-07;8,03E-08;7,62E-08;7,38E-08;7,79E-08;7,64E-08;1,93E-07;7,45E-08;7,86E-08;7,66E-08;1,31E-07;7,63E-08;7,48E-08;1,06E-07;3,71E-07
7,21E-08;7,53E-08;7,91E-08;7,26E-08;7,24E-08;7,94E-08;2,14E-07;7,57E-08;7,42E-08;7,89E-08;2,95E-07;1,08E-07;4,02E-07;4,87E-07;5,63E-07;7,50E-08
7,51E-08;7,81E-08;7,59E-08;1,77E-07;2,64E-07;1,42E-07;7,85E-08;7,51E-08;7,86E-08;7,22E-08;1,09E-07;8,08E-08;1,73E-07;4,31E-07;1,45E-07;2,59E-07
7,71E-08;7,43E-08;7,47E-08;8,06E-08;7,67E-08;8,06E-08;7,20E-08;7,56E-08;7,73E-08;7,25E-08;1,49E-07;3,89E-07;8,06E-08;1,00E-07;8,92E-08;7,34E-08
7,71E-08;7,42E-08;7,75E-08;1,07E-07;7,94E-08;7,72E-08;2,70E-07;7,40E-08;8,07E-08;1,40E-07;1,59E-07;2,23E-07;7,27E-08;8,01E-08;7,24E-08;3,35E-07
8,00E-08;7,70E-08;7,53E-08;8,00E-08;7,60E-08;7,68E-08;7,70E-08;7,94E-08;4,85E-07;3,16E-07;7,41E-08;4,20E-07;3,79E-07;4,66E-07;4,52E-07;1,17E-06
7,31E-08;7,32E-08;7,41E-08;7,63E-08;8,07E-08;7,36E-07;1,40E-07;7,49E-08;7,78E-08;7,64E-08;7,69E-08;7,70E-08;4,39E-07;4,18E-07;1,46E-07;7,72E-08
7,60E-08;7,60E-08;7,98E-08;7,91E-08;7,43E-08;7,59E-08;7,91E-08;1,29E-07;7,42E-08;7,77E-08;1,81E-07;2,68E-07;2,00E-07;2,53E-07;1,04E-06;7,33E-08
7,51E-08;7,22E-08;3,04E-07;7,54E-08;1,81E-07;1,04E-07;7,57E-08;9,28E-08;7,49E-08;7,80E-08;5,62E-07;7,32E-08;1,52E-06;7,74E-08;4,41E-07;7,42E-07
7,80E-08;7,50E-08;7,54E-08;7,51E-08;4,54E-07;2,93E-07;7,22E-08;7,32E-08;7,62E-08;7,53E-08;7,23E-08;1,66E-07;7,50E-08;7,84E-08;7,64E-08;8,80E-06
8,01E-08;8,02E-08;7,42E-08;7,44E-08;7,73E-08;7,87E-08;7,47E-08;7,86E-08;7,70E-08;8,06E-08;7,92E-08;4,88E-07;1,96E-07;5,62E-07;2,29E-07;7,87E-08
1,52E-07;8,01E-08;2,39E-07;7,71E-08;7,79E-08;7,52E-08;7,72E-08;7,61E-08;2,13E-07;8,08E-08;7,74E-08;1,58E-07;7,85E-06;2,51E-07;1,51E-07;7,96E-08
7,31E-08;7,92E-08;7,68E-08;7,35E-08;7,66E-08;7,48E-08;7,98E-08;9,35E-08;7,20E-08;1,53E-07;7,83E-08;8,60E-08;4,19E-07;3,76E-07;1,10E-07;1,94E-07
7,60E-08;7,91E-08;7,75E-08;7,92E-08;7,92E-08;7,44E-08;1,00E-07;1,46E-07;2,59E-07;7,84E-08;7,35E-08;7,55E-08;7,56E-08;8,06E-08;7,27E-08;2,09E-07
7,81E-08;7,82E-08;7,46E-08;7,25E-08;6,22E-07;7,40E-08;7,29E-08;1,70E-07;2,03E-07;7,87E-08;7,44E-08;1,38E-07;7,66E-08;8,07E-08;3,08E-07;1,48E-07
7,81E-08;7,81E-08;7,23E-08;7,82E-08;7,25E-08;4,68E-07;1,41E-07;2,42E-07;7,25E-08;2,14E-07;7,66E-08;7,86E-08;5,95E-06;7,88E-08;4,44E-07;6,49E-07
8,01E-08;7,73E-08;7,37E-08;1,59E-07;8,01E-08;7,91E-08;7,49E-08;7,62E-08;5,87E-07;8,40E-07;7,35E-08;1,09E-07;4,79E-07;7,69E-08;7,20E-08;8,01E-08
7,41E-08;7,71E-08;7,42E-08;7,73E-08;7,38E-08;7,27E-08;7,75E-08;7,47E-08;7,36E-08;7,76E-08;7,52E-07;7,35E-08;7,78E-08;7,79E-08;7,39E-08;7,80E-08
7,61E-08;7,33E-08;9,43E-06;7,96E-08;7,85E-08;8,03E-08;8,00E-08;7,81E-08;7,23E-08;7,39E-08;2,30E-07;7,47E-08;7,29E-08;7,92E-07;8,34E-08;7,47E-08
7,61E-08;7,61E-08;5,58E-06;7,63E-08;7,51E-08;7,98E-08;7,35E-08;2,29E-07;1,40E-07;8,59E-07;7,88E-08;6,48E-07;5,16E-07;7,90E-08;7,89E-07;9,62E-08
7,90E-08;7,60E-08;4,50E-06;7,30E-08;7,78E-08;7,94E-08;2,29E-07;8,00E-08;7,30E-08;7,45E-08;1,33E-07;7,60E-08;7,90E-08;7,30E-08;7,90E-08;1,33E-07
7,21E-08;7,52E-08;1,03E-06;7,53E-08;1,12E-07;7,20E-08;7,56E-08;1,82E-07;7,97E-08;2,78E-07;4,76E-07;8,00E-08;7,21E-08;2,17E-07;5,67E-07;7,21E-08
7,20E-08;7,50E-08;2,53E-06;3,15E-07;7,30E-08;7,46E-08;7,51E-08;7,59E-08;7,61E-08;7,51E-08;1,02E-07;8,02E-08;1,94E-07;8,02E-08;8,32E-08;8,01E-07
7,41E-08;7,42E-08;4,54E-06;7,44E-08;8,07E-08;7,72E-08;7,76E-08;8,03E-08;7,65E-07;7,44E-08;8,10E-08;2,70E-07;3,57E-07;7,83E-08;2,38E-07;5,94E-07
7,70E-08;7,40E-08;5,77E-06;8,01E-08;7,23E-08;7,77E-08;8,02E-08;2,53E-07;7,72E-08;2,94E-07;4,04E-07;7,32E-08;2,63E-07;1,04E-07;5,27E-07;3,35E-07
7,91E-08;7,92E-08;9,57E-06;7,34E-08;7,70E-08;7,63E-08;7,37E-08;7,72E-08;7,49E-08;8,00E-08;7,61E-08;8,22E-07;2,82E-07;7,24E-08;1,52E-07;3,18E-07
7,90E-08;7,31E-08;7,83E-08;7,91E-08;7,36E-08;7,59E-08;1,03E-07;7,76E-08;7,23E-08;6,39E-07;7,93E-08;8,04E-08;7,74E-08;2,06E-07;1,52E-07;7,69E-08
7,21E-08;2,49E-07;7,21E-08;7,54E-08;8,73E-08;7,75E-08;5,44E-07;7,61E-08;7,90E-08;8,06E-08;7,42E-08;7,63E-08;7,64E-08;1,61E-07;7,87E-08;7,64E-08
7,50E-08;7,21E-08;7,44E-08;7,82E-08;7,79E-08;7,71E-08;7,83E-08;7,45E-08;1,89E-07;1,81E-07;7,34E-08;1,02E-07;7,95E-08;1,52E-07;7,61E-08;7,36E-08
7,41E-08;7,72E-08;;7,75E-08;8,06E-08;1,81E-07;7,78E-08;7,39E-08;7,21E-08;7,22E-08;3,91E-07;1,09E-07;7,46E-08;2,51E-07;2,46E-07;7,47E-08
7,76E-08;8,52E-08;9,69E-07;9,21E-08;1,13E-07;1,26E-07;1,22E-07;1,25E-07;1,71E-07;1,71E-07;1,77E-07;1,84E-07;4,78E-07;2,25E-07;2,37E-07;4,44E-07
