NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12
6,14E-08;6,17E-08;8,91E-08;6,34E-08;6,17E-08;6,54E-08;6,78E-08;4,20E-07;7,81E-07;9,62E-08;5,44E-06;2,90E-06
6,72E-08;6,44E-08;6,75E-08;4,07E-07;6,38E-08;1,33E-07;6,51E-08;4,47E-07;6,94E-07;8,70E-08;6,16E-08;1,68E-06
6,10E-08;6,40E-08;6,70E-08;6,10E-08;9,79E-08;1,80E-07;3,88E-07;8,35E-07;3,56E-06;1,21E-06;6,80E-08;1,01E-07
6,62E-08;6,04E-08;6,47E-08;2,68E-07;1,34E-07;2,23E-07;3,90E-07;1,44E-07;9,73E-07;9,70E-06;5,46E-07;1,32E-06
6,30E-08;3,13E-07;2,17E-07;2,07E-07;6,01E-08;2,47E-07;1,47E-06;2,09E-07;3,44E-07;7,85E-08;1,30E-06;3,88E-06
2,52E-07;6,55E-08;6,27E-08;6,89E-08;6,00E-08;2,19E-07;2,31E-07;1,46E-07;7,91E-07;6,90E-08;2,25E-06;6,93E-08
6,51E-08;6,51E-08;6,52E-08;6,52E-08;5,12E-07;2,12E-07;6,54E-08;6,64E-08;1,39E-06;1,33E-07;3,28E-07;9,93E-07
6,13E-08;1,07E-07;6,89E-08;6,20E-08;6,03E-08;6,15E-08;5,41E-07;6,70E-08;1,44E-06;1,47E-06;1,20E-05;7,36E-08
6,71E-08;6,41E-08;8,64E-08;7,03E-08;6,44E-08;6,15E-08;6,87E-08;1,41E-07;1,01E-07;6,19E-07;3,90E-06;6,42E-08
6,33E-08;6,66E-08;6,08E-08;6,41E-08;5,29E-07;6,19E-08;6,70E-08;5,14E-07;6,64E-08;1,33E-06;9,66E-05;5,90E-06
6,01E-08;6,62E-08;6,33E-08;6,64E-08;6,15E-08;6,78E-08;7,54E-07;4,03E-07;2,49E-06;8,99E-07;3,69E-05;
6,53E-08;6,56E-08;6,40E-08;3,00E-07;6,15E-08;2,17E-07;8,95E-08;8,71E-07;8,08E-07;1,22E-06;2,84E-06;
7,39E-08;9,74E-08;1,05E-07;1,29E-07;2,15E-07;1,57E-07;2,51E-07;3,89E-07;2,62E-06;1,91E-06;6,59E-06;5,03E-06
