NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11
7,92E-08;8,09E-08;8,03E-08;7,59E-08;1,49E-07;8,40E-07;2,26E-06;1,71E-07;1,69E-06;3,09E-06;2,43E-06
7,85E-08;7,64E-08;2,44E-07;4,25E-07;1,88E-07;8,71E-06;2,39E-05;7,25E-08;1,06E-06;3,08E-06;5,61E-06
7,82E-08;7,88E-08;7,66E-08;7,57E-08;2,28E-07;2,80E-06;1,23E-06;8,12E-07;2,75E-06;2,44E-06;1,02E-06
7,75E-08;2,87E-07;1,53E-07;6,88E-07;1,31E-06;3,83E-07;4,86E-07;1,64E-06;2,19E-06;3,42E-07;1,79E-07
7,73E-08;7,37E-08;7,69E-08;7,79E-07;3,96E-07;1,27E-05;4,34E-06;1,00E-07;4,40E-05;1,62E-05;3,28E-07
7,66E-08;7,61E-08;7,51E-08;1,00E-07;1,08E-06;3,11E-06;1,43E-07;7,45E-07;4,83E-07;7,43E-08;1,84E-07
2,44E-07;2,20E-07;2,21E-07;3,29E-07;2,60E-06;1,76E-07;4,70E-05;1,12E-06;1,79E-06;4,88E-07;1,66E-06
7,30E-08;7,80E-08;8,04E-08;8,50E-08;3,73E-06;4,63E-07;1,50E-06;5,12E-06;1,21E-06;8,10E-07;1,04E-07
7,23E-08;7,34E-08;7,65E-08;7,99E-08;6,05E-07;1,40E-07;1,58E-07;1,56E-07;4,07E-06;7,36E-07;4,86E-06
7,20E-08;7,59E-08;1,60E-07;1,92E-07;1,08E-07;7,39E-08;8,53E-08;1,42E-07;1,98E-05;6,56E-06;3,13E-06
8,04E-08;8,03E-08;7,28E-08;8,07E-08;1,50E-07;9,18E-08;4,56E-06;7,66E-06;6,85E-07;1,30E-05;1,37E-05
8,01E-08;2,60E-07;1,56E-07;1,72E-07;1,87E-06;1,06E-07;6,82E-07;1,19E-06;3,88E-06;3,87E-06;3,93E-06
7,94E-08;7,32E-08;7,32E-08;2,30E-07;8,32E-07;1,61E-07;9,00E-06;2,68E-06;0,000185266;1,48E-07;5,48E-06
7,91E-08;7,36E-08;7,83E-08;1,10E-07;3,70E-06;5,52E-07;4,30E-06;1,11E-07;2,15E-07;2,95E-06;4,61E-06
2,10E-07;2,46E-07;1,99E-07;2,33E-07;1,01E-06;6,72E-07;9,87E-07;2,33E-07;2,30E-07;6,73E-05;2,58E-06
7,52E-08;7,75E-08;7,66E-08;9,30E-08;1,05E-06;1,10E-07;1,05E-06;1,83E-06;1,32E-06;1,48E-06;4,24E-07
7,45E-08;7,29E-08;7,28E-08;7,59E-08;7,54E-08;3,99E-06;1,45E-07;1,39E-06;5,20E-05;1,29E-07;1,13E-05
7,42E-08;7,54E-08;2,01E-07;4,47E-07;1,83E-06;2,44E-05;8,20E-07;5,23E-07;8,89E-07;4,72E-06;1,14E-07
7,35E-08;7,98E-08;7,31E-08;7,57E-08;3,69E-06;1,17E-05;1,09E-07;1,43E-07;1,50E-07;9,20E-08;1,75E-05
7,32E-08;2,50E-07;1,56E-07;1,67E-07;5,08E-07;5,10E-07;3,48E-06;8,17E-07;7,61E-08;2,23E-06;2,98E-06
7,26E-08;7,27E-08;7,34E-08;2,55E-07;4,82E-07;2,56E-06;7,39E-06;1,88E-06;1,36E-06;1,55E-06;1,59E-06
7,23E-08;7,31E-08;7,86E-08;1,12E-07;2,57E-07;7,56E-08;4,36E-07;7,64E-08;1,17E-06;5,17E-06;7,05E-07
2,13E-07;1,47E-07;2,54E-07;3,49E-07;7,70E-08;2,99E-07;5,18E-07;7,21E-07;9,88E-08;1,68E-06;2,88E-07
