NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11
7,73E-08;7,70E-08;7,41E-08;9,40E-08;8,99E-07;1,31E-06;1,74E-07;4,64E-07;4,52E-06;1,00E-07;1,37E-05
7,70E-08;7,94E-08;7,73E-08;7,99E-08;4,88E-07;1,64E-06;9,67E-06;1,49E-06;7,64E-08;1,04E-07;1,03E-07
7,63E-08;7,49E-08;2,16E-07;6,40E-07;1,21E-06;1,45E-06;7,27E-08;4,77E-06;2,65E-06;1,55E-06;1,85E-07
7,61E-08;7,73E-08;7,76E-08;7,97E-08;3,58E-06;5,25E-07;9,06E-08;1,14E-07;2,02E-06;5,80E-06;2,51E-06
7,54E-08;1,96E-07;2,89E-07;1,60E-07;1,08E-07;7,31E-08;2,79E-06;1,24E-06;3,25E-07;3,49E-07;1,85E-06
7,51E-08;7,92E-08;7,79E-08;4,86E-07;3,43E-07;1,49E-07;5,86E-07;8,65E-08;7,04E-06;1,22E-05;1,03E-07
7,44E-08;7,26E-08;7,61E-08;1,07E-07;1,48E-07;1,20E-06;2,32E-06;1,02E-07;1,21E-06;7,96E-08;1,65E-05
1,88E-07;1,62E-07;3,03E-07;2,32E-07;3,94E-07;7,28E-08;9,35E-06;7,37E-08;5,79E-07;1,87E-06;3,69E-07
7,95E-08;7,65E-08;7,64E-08;9,70E-08;1,04E-06;4,34E-06;9,45E-07;3,67E-06;9,50E-08;1,31E-05;4,56E-06
7,92E-08;7,89E-08;7,95E-08;7,39E-08;7,99E-08;1,05E-07;8,38E-07;1,44E-06;4,47E-06;2,68E-06;1,21E-06
7,85E-08;7,44E-08;2,01E-07;4,47E-07;1,33E-06;8,09E-08;1,28E-06;3,04E-07;3,85E-06;1,93E-06;1,41E-06
7,82E-08;7,68E-08;7,99E-08;7,57E-08;3,78E-07;1,95E-06;1,24E-06;3,09E-07;4,80E-06;1,41E-07;1,38E-05
7,75E-08;1,86E-07;1,92E-07;1,40E-07;7,43E-07;3,28E-07;1,88E-05;2,05E-07;8,76E-07;1,11E-07;1,21E-06
7,73E-08;7,87E-08;8,02E-08;7,34E-08;1,30E-06;8,84E-08;4,38E-07;4,11E-07;2,43E-05;7,81E-08;1,79E-06
7,66E-08;7,21E-08;7,83E-08;1,11E-07;2,44E-07;7,63E-08;7,30E-07;9,17E-08;1,44E-07;2,47E-05;3,27E-06
2,08E-07;1,44E-07;2,42E-07;3,17E-07;2,13E-07;3,18E-06;1,98E-06;9,95E-08;8,64E-07;1,15E-07;9,25E-08
7,30E-08;7,40E-08;7,66E-08;9,40E-08;2,46E-07;1,84E-05;7,40E-08;8,26E-05;3,46E-07;4,63E-06;5,83E-07
7,23E-08;7,84E-08;7,28E-08;7,49E-08;1,01E-07;3,30E-06;7,61E-07;2,98E-06;1,06E-07;3,94E-05;1,37E-06
7,20E-08;8,09E-08;2,01E-07;2,16E-07;7,09E-07;8,62E-08;2,01E-06;4,26E-07;0,000118744;3,61E-06;2,43E-06
8,04E-08;7,63E-08;7,31E-08;7,77E-08;8,50E-07;1,38E-06;7,89E-08;2,49E-06;8,08E-08;7,02E-06;1,10E-05
8,01E-08;2,38E-07;1,74E-07;1,42E-07;4,83E-07;6,48E-07;2,84E-07;1,13E-07;1,08E-06;3,36E-06;2,95E-06
7,94E-08;8,02E-08;7,34E-08;1,04E-06;2,05E-07;5,44E-07;2,14E-06;3,22E-06;1,15E-07;2,63E-06;1,77E-06
7,91E-08;7,86E-08;7,86E-08;1,10E-07;7,77E-08;1,25E-07;3,84E-06;5,15E-06;1,11E-07;3,76E-06;1,00E-07
1,38E-07;1,61E-07;2,88E-07;2,93E-07;7,33E-08;7,35E-07;1,79E-07;5,84E-07;3,26E-05;2,18E-06;9,39E-06
7,52E-08;7,35E-08;7,69E-08;9,40E-08;9,98E-07;7,90E-08;9,67E-07;3,43E-06;8,34E-06;4,59E-05;1,53E-07
7,45E-08;7,79E-08;7,30E-08;7,49E-08;2,82E-07;1,88E-07;2,07E-06;1,43E-05;1,41E-07;9,02E-08;2,92E-06
9,15E-08;1,09E-07;1,27E-07;2,18E-07;8,67E-07;2,38E-06;3,64E-06;3,25E-06;1,11E-05;6,44E-06;3,68E-06
