9 9.760119040476162e-08 1.7343229372917492e-07 4.824619298477194e-09 3.888315553262213e-08 3.1474125896503584e-07
12 9.04007616030464e-08 2.3535574142296568e-07 6.5932663730654926e-09 3.563366253465014e-08 3.679834319337277e-07
15 1.0281881127524511e-07 2.970567882271529e-07 8.74495497981992e-09 3.1823447293789176e-08 4.404440017760071e-07
18 9.109632877063016e-08 3.5903847230777845e-07 1.0768846150769205e-08 2.8359746877975023e-08 4.892633941071528e-07
21 2.0438949810206665e-07 4.444696330662168e-07 2.2023776887389287e-08 2.9478121045972164e-08 7.003610291016449e-07
